Symbol,Trade number,Type,Date and time,Order ID,Signal,Price,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
VANTAGE:NAS100,109,Exit short,"Aug 19, 2026, 17:11",3421993928,3421993928,29422.659999999996,240,7120981.4,59543,0.84,0,,,,,127692.1,127.69,
VANTAGE:NAS100,109,Entry short,"Aug 19, 2026, 16:26",3421993144,3421993144,29670.755833333336,240,7120981.4,59543,0.84,0,,,,,127692.1,127.69,
VANTAGE:NAS100,110,Exit long,"Aug 19, 2026, 20:03",3422813212,3422813212,29496.443333333336,120,3539079.2,494,0.01,0,,,,,128186.1,128.19,
VANTAGE:NAS100,110,Entry long,"Aug 19, 2026, 17:46",3422812702,3422812702,29492.326666666668,120,3539079.2,494,0.01,0,,,,,128186.1,128.19,
VANTAGE:NAS100,111,Exit long,"Aug 19, 2026, 21:07",3423807915,3423807915,29466.609999999997,80,2357432.8,-104,0,0,,,,,128082.1,128.08,
VANTAGE:NAS100,111,Entry long,"Aug 19, 2026, 20:29",3423807221,3423807221,29467.909999999996,80,2357432.8,-104,0,0,,,,,128082.1,128.08,
VANTAGE:NAS100,112,Exit long,"Aug 19, 2026, 21:57",3423987333,3423987333,29467.859999999997,80,2355472.8,1956,0.08,0,,,,,130038.1,130.04,
VANTAGE:NAS100,112,Entry long,"Aug 19, 2026, 21:08",3423986335,3423986335,29443.409999999996,80,2355472.8,1956,0.08,0,,,,,130038.1,130.04,
VANTAGE:NAS100,113,Exit short,"Aug 20, 2026, 13:36",3426693518,3426693518,29479.16,300,8841333,-2415,-0.03,0,,,,,127623.1,127.62,
VANTAGE:NAS100,113,Entry short,"Aug 20, 2026, 13:34",3426692830,3426692830,29471.11,300,8841333,-2415,-0.03,0,,,,,127623.1,127.62,
VANTAGE:NAS100,114,Exit short,"Aug 20, 2026, 13:37",3426701523,3426701523,29474.96,300,8838333,-4155,-0.05,0,,,,,123468.1,123.47,
VANTAGE:NAS100,114,Entry short,"Aug 20, 2026, 13:36",3426699780,3426699780,29461.11,300,8838333,-4155,-0.05,0,,,,,123468.1,123.47,
VANTAGE:NAS100,115,Exit short,"Aug 20, 2026, 13:47",3426703597,3426703597,29480.41,300,8841183,-2940,-0.03,0,,,,,120528.1,120.53,
VANTAGE:NAS100,115,Entry short,"Aug 20, 2026, 13:38",3426703403,3426703403,29470.61,300,8841183,-2940,-0.03,0,,,,,120528.1,120.53,
VANTAGE:NAS100,116,Exit long,"Aug 20, 2026, 14:00",3426747680,3426747680,29475.31,300,8844273,-1680,-0.02,0,,,,,118848.1,118.85,
